name,klas,lvl,type,color,img,effects,options,modable,collectible,consumable,speed,range,time_color,lifespan,vspeed,vfreq,layer
bread,item,1,food,grey14,bread,t:+1,,,TRUE,TRUE,,,,,,,
peanut,item,1,food,grey14,peanut,t:+1,,,TRUE,TRUE,,,,,,,
pretzel,item,1,food,grey14,pretzel,t:+1,,,TRUE,TRUE,,,,,,,
carrot,item,2,food,grey14,carrot,max:+1 r:+1:0.5,,,TRUE,TRUE,,,,,,,
apple,item,1,food,grey14,apple,max:+1,,,TRUE,TRUE,,,,,,,
banana,item,2,food,grey14,banana,t:+1 max:+1,,,TRUE,TRUE,,,,,,,
pinapple,item,2,food,grey14,pinapple,max:+1 lib:+1,,,TRUE,TRUE,,,,,,,
can,item,2,food,grey14,can,t:+2.,,,TRUE,TRUE,,,,,,,
egg,item,2,food,grey14,egg,t:+2,,,TRUE,TRUE,,,,,,,
tomato,item,2,food,grey14,tomato,t:+2,,,TRUE,TRUE,,,,,,,
chili,item,3,food,grey14,chili,max:+2 ill:-1,,,TRUE,TRUE,,,,,,,
lemon,item,3,food,grey14,lemon,max:+2 ill:-1,,,TRUE,TRUE,,,,,,,
kibabchi,item,3,food,grey14,kibabchi,t:+3 max:-1 kef:+1,,,TRUE,TRUE,,,,,,,
icecream,item,3,food,grey14,icecream,t:+3 max:-1 kef:+1,,,TRUE,TRUE,,,,,,,
cheese,item,3,food,grey14,cheese,t:+3,,,TRUE,TRUE,,,,,,,
donut,item,3,food,grey14,donut,t:+3 max:-1 kef:+1,,,TRUE,TRUE,,,,,,,
spoget,item,4,food,grey14,spoget,t:+5 max:-2 kef:+1,,,TRUE,TRUE,,,,,,,
hotdog,item,4,food,grey14,hotdog,t:+6 max:-3 kef:+1,,,TRUE,TRUE,,,,,,,
pizza,item,4,food,grey14,pizza,t:+6 max:-3 kef:+1,,,TRUE,TRUE,,,,,,,
meat,item,4,food,grey14,meat,t:+4,,,TRUE,TRUE,,,,,,,
steak,item,4,food,grey14,steak,t:+4,,,TRUE,TRUE,,,,,,,
popcorn,item,2,food,grey14,,t:+2,,,TRUE,TRUE,,,,,,,
shroom,item,6,food,grey14,,t:-5 max:-1 #trip,,,TRUE,TRUE,,,,,,,
shrimp,item,3,food,grey14,,t:+1 max:+2,,,TRUE,TRUE,,,,,,,
honey,item,3,food,grey14,,t:+2 max:+2 ill:-1,,,TRUE,TRUE,,,,,,,
doner,item,3,food,grey14,,t:+6 max:-3 kef:+1,,,TRUE,TRUE,,,,,,,
coffee,item,1,drink,grey14,kafe,max:-1 vsp:+1:1,,,TRUE,TRUE,,,,,,,
fresh,item,3,drink,grey14,fresh,t:+1 max:+1 sp:+1:1,,,TRUE,TRUE,,,,,,,
wassa,item,1,drink,grey14,,"t:+1, hyg+1",,,TRUE,TRUE,,,,,,,
beer,item,2,drink,grey14,beer,t:+1 max:-1 joy:+1,,,TRUE,TRUE,,,,,,,
vodka,item,2,drink,grey14,,max:-1 ego:+1 lib:+1,,,TRUE,TRUE,,,,,,,
mastique,item,2,drink,grey14,,max:-1 lib:+2,,,TRUE,TRUE,,,,,,,
menta,item,2,drink,grey14,,max:-1 joy:+1,,,TRUE,TRUE,,,,,,,
wiski,item,4,drink,grey14,,max:-1 ego:+2 joy:+1,,,TRUE,TRUE,,,,,,,
oblak,item,5,drink,grey14,,t:-2 lib:+3 joy:+2,,,TRUE,TRUE,,,,,,,
cigara,item,1,drug,grey14,cig,max:-1 joy:+1 ego:+1,,,TRUE,TRUE,,,,,,,
jonka,item,2,drug,grey14,,max:-1 stress:-1 art:+1 ego:-1,,,TRUE,TRUE,,,,,,,
justin,item,3,drug,grey14,,LS D20 AND SP U3 AND EGO U2,,,TRUE,TRUE,,,,,,,
shroom,item,4,drug,grey14,shroom,#trip,,,TRUE,TRUE,,,,,,,
poop,item,1,notype,grey14,poop,LS D5 AND LP D1,,,TRUE,TRUE,,,,,,,
